clean_title,sentiment_from_rating
Worth the money,1
Very good,1
Worth product,1
Best budget earphone,1
Amazing Sound Quality best noise cancellation and a very high bass,1
great design,1
Good,1
mic works well,1
Genuine Product,1
Worst product,1
Boat better then Philips and other,1
Prompt delivery Satisfied product,1
Good product,1
This product takes delivery charges so be carefull,1
Good q,1
Best budget earphones,1
best in budget,1
Value for money,1
Awesome sets,1
Nice earphone worth price,1
Excellent budget headphone,1
It was a good deal since it gives one year warranty in this range,1
Treble is more than bass,1
Amazing Earphones in Budget,1
Best for the money,1
High Treble,1
Good,1
Nice product,1
Overall good in this price range,1
Excellent in rs350,1
good at this prize,1
Excellent,1
Decent Earphones for the price,1
Most perfect and all customers tRy this earphones,1
Good quality budget earphones,1
Excellent headphones,1
Clear voice,1
On of best wired headset by Boat,1
pocket friendly and great sound,1
Very good,1
Superb quality and good built up,1
Base ultimate,1
Worth for money,1
Great product,1
Good earphones for 350,1
Bass quality should be increased as written in About Produt or it should not be mentioned,1
Good,1
Decent enough,1
Delivery feedback and product review,1
Above average,1
Five,1
Must buy,1
Looks nice working properly,1
Nice Product,1
Very Good,1
Ergonomic and Worth warranty,1
Good at this price but mic placement is an issue,1
Just buy it,1
Nice product and value for money for wired earphones,1
1month now,1
Worth of money,1
Practical review,1
Nice value for money earphones,1
After 6 months update,1
Good product,1
Go for itttttttt,1
Wunderful,1
Good sound quality,1
Nice earphone,1
Best earphones in 399,1
Loved it,1
superb ear soothing quality,1
Best headphone ever,1
Super,1
Good,1
Good product,1
Sound quality and build quality is good,1
Quality is so good,1
Good,1
Op,1
product,1
Satisfied,1
Good quality sound,1
It is economical,1
Good as per the price,1
Average mic is bit noisy,1
Good,1
Value for the money and is wonderful,1
Value for Money,1
Good product,1
As Expected Boat is a trusted brand in audio devices,1
Excellent quality and even better after sales service,1
A must buy ear phone,1
Budget beast,1
Best headphones at affordable price,1
Value for money,1
Stayed Longer than I expected,1
Unexpected Overwhelmed with boAt BassHeads 100,1
Good,1
One of the best durable earphone in the market,1
Worthy product,1
Nice Product,1
Good Earphones,1
Quit good,1
Fair,1
Nice product,1
Product,1
Good pair of headphones,1
A Bass Earphone for Bass lovers,1
Fantastic,1
Nice product,1
BOAT Semma brand Semma Design,1
Simply sails on boats bcoz awesome on hearing,1
It is good,1
Good Sound,1
Best Bang for bucks,1
Awesome earphone,1
Nice,1
Good to buy,1
Nice and valuable,1
Very good item,1
Too much noise while making calls,1
Good earphone but,1
Good product,1
Best Earphone Comes With Best Warranty,1
At this its product is superb,1
Best earphones in affordable price,1
Must Buy,1
Good product,1
It really looks stylish,1
Nice product in low budget,1
Best earphone in this budget,1
Good product for the price,1
Value for Money,1
Good product with best price rag,1
Thanks,1
It is very best product,1
Good,1
Good,1
It is ok,1
Best handsfree,1
Superb Bass at the this price,1
Nice Bass Good Vocals,1
Wonderful,1
Nice,1
Just some for ur help guys,1
It is good,1
Awsome,1
Value for money,1
Gud,1
Ok for the price,1
GOOD PRODUCT,1
Good Product at this price ranged,1
Great for the price balanced sound,1
Nice,1
Average product,1
Best Earphone is this segment,1
Not comfortable for the ears for a longer duration of time,1
Overwhelming bass in these surprisingly good sounding earphones Best under 500,1
Awesome product,1
Best earphones,1
Excellent,1
Durability star,1
Decent product,1
Very nice head phone,1
Sound is good but wire quality is poor,1
Good headset,1
Best headphone clear sound,1
Best earphone for students,1
Very good,1
Good,1
Best in class cannot better quality for this price,1
Good quality product,1
Worth buy,1
One month review Good buy for this price,1
Nice product,1
Worth Buying,1
Boat earphones,1
This headset is very good,1
Best earphones for the price,1
It is a good bass earphone,1
Awesome,1
Nice product,1
Good,1
My fav,1
Cost effective and good quality,1
Ok,1
Good,1
Best at this price,1
Value for money,1
Noise cancellation,1
Not very good,1
Good Product,1
M recommended,1
Nice ear phones,1
Awesome,1
Worth for money,1
Good product,1
Superb,1
Outstanding Customer support,1
Good product,1
Bass more expected,1
Nice one as expected,1
Quality product for the price,1
Good handsfree with decent noise cancellation,1
Best quality product for CSK fan,1
YOU can buy it If ur budget is low,1
Worthy,1
Good but needs improvement,1
Sounds,1
It is a budget friendly earphone with one year warranty with it,1
Go for it it is really good,1
Good headphone,1
Literally the Best one out there for the price range,1
Worth for money But average in some smartphones,1
good in this price segment,1
It is fine for this price and for normal usages,1
Best in low budget,1
Value for money,1
Good according to the price point,1
Worth buying if looking for a budgeted one,1
Good Product,1
Amazon Amazing As Usual,1
Quality product,1
Worth the price,1
Totally waste of money Do Not buy,1
Meets my expectations,1
Nice,1
Value for money,1
Best earphone,1
Good product at this price,1
